location_name,fao_maize_and_products,fao_rice_and_products,fao_wheat_and_products,fao_oil_all
Angola,415.0,80.0,256.0,282.0
Bangladesh,7.0,1728.0,164.0,178.0
Burkina Faso,629.0,221.0,109.0,190.0
Cameroon,381.0,277.0,192.0,228.0
China,57.0,821.0,563.0,197.0
C̫te d'Ivoire,232.0,601.0,181.0,360.0
Egypt,572.0,322.0,1158.0,152.0
Ethiopia,437.0,33.0,333.0,79.0
Ghana,194.0,284.0,152.0,155.0
India,63.0,645.0,527.0,252.0
Indonesia,184.0,1286.0,274.0,297.0
Kenya,656.0,148.0,299.0,167.0
Madagascar,66.0,1075.0,105.0,72.0
Mozambique,321.0,238.0,184.0,279.0
Myanmar,43.0,1221.0,69.0,190.0
Nepal,345.0,864.0,400.0,234.0
Niger,24.0,181.0,26.0,96.0
Nigeria,315.0,266.0,195.0,284.0
Pakistan,164.0,138.0,920.0,278.0
South Africa,815.0,149.0,485.0,315.0
Sudan,2.0,19.0,530.0,211.0
Uganda,361.0,65.0,109.0,237.0
United Republic of Tanzania,530.0,228.0,131.0,239.0
Viet Nam,124.0,1319.0,112.0,67.0
