measure,,Prevalence of Vitamin A deficiency in age group Under 5,Prevalence of Vitamin A deficiency in age group Under 5,Prevalence of Vitamin A deficiency in age group Under 5,Number in age group Under 5 with Vitamin A deficiency,Number in age group Under 5 with Vitamin A deficiency,Number in age group Under 5 with Vitamin A deficiency,DALYs attributable to Vitamin A deficiency in age group Under 5,DALYs attributable to Vitamin A deficiency in age group Under 5,DALYs attributable to Vitamin A deficiency in age group Under 5,"DALYs attributable to Vitamin A deficiency per 100,000 person-years in age group Under 5","DALYs attributable to Vitamin A deficiency per 100,000 person-years in age group Under 5","DALYs attributable to Vitamin A deficiency per 100,000 person-years in age group Under 5"
estimate,,mean,lower,upper,mean,lower,upper,mean,lower,upper,mean,lower,upper
location_id,location_name,,,,,,,,,,,,
168,Angola,0.26385104877356685,0.18399301607433008,0.3689890718216743,1358080.994134672,947039.7004125769,1899242.1967382848,35762.636537923296,8980.728880249577,68737.46727328625,694.8045954690105,174.47963295552427,1335.4470689468192
161,Bangladesh,0.08411016830788388,0.052887652271962245,0.12837518719861632,1156170.9490769422,726988.999687857,1764633.9914343264,8177.647902522295,4455.089506663263,13302.476720128945,59.49149146092158,32.41028746927958,96.77405895166585
201,Burkina Faso,0.3542470749842978,0.26029984015895047,0.45676054478452527,1432914.2957930104,1052901.7414552493,1847576.9049185805,67591.13131818034,17158.637069120432,144659.69931877503,1670.9973956323574,424.1982238783601,3576.2973055847488
202,Cameroon,0.279079529941478,0.1896593079948823,0.3848025446188942,1174118.0717572942,797917.4289152258,1618906.3446895503,63554.15933888752,11725.17139899001,137368.2232997524,1510.6372468636123,278.6989998046648,3265.1451425164337
6,China,0.03854298046134565,0.023616135293342097,0.06130120704784187,3140900.5950795976,1924499.1567460326,4995488.0341638755,12485.881056133254,7520.831592022305,18810.699449464748,15.321817899717177,9.229049322939193,23.083201756870345
205,C̫te d'Ivoire,0.2618770075202386,0.18283807344942343,0.3675938417502455,1050650.1670265966,733546.0803813094,1474785.949671415,19772.175858148094,7176.201434949138,42664.51003340324,492.8261002945863,178.86849649159683,1063.4228752358833
171,Democratic Republic of the Congo,0.5143137853835912,0.4055609796531984,0.6246002691491019,7009821.815050307,5527579.239171716,8512967.602262804,176063.372509817,50244.72839412433,390050.42365183565,1291.784897991388,368.6478363896487,2861.81753504971
141,Egypt,0.029520967044746188,0.018288273241841225,0.045663775464580954,319570.1986689157,197974.10783827087,494319.2333459134,3864.636991469672,1474.6819549374284,7442.702937590623,35.700394386048856,13.622683709093982,68.75352866431713
179,Ethiopia,0.356953908620527,0.25822637426559486,0.47401047759775117,5953873.365610553,4307130.68244491,7906338.295877386,151986.41449718366,44814.67930764481,290943.1183415838,911.2075682588156,268.6784545139353,1744.2978192671549
207,Ghana,0.26608623382909746,0.17824879684934283,0.3641970190056554,1056531.2650877882,707760.879341734,1446093.3648990921,18458.86485965066,6906.706491577134,36721.79439396594,464.88447560106977,173.94464122687717,924.8343416439238
163,India,0.1681695192991114,0.11129185729483732,0.25207385144508854,19687733.65240682,13029022.460397802,29510477.693406157,250688.87266165475,118914.53632320919,422802.62895950064,214.13448573341913,101.5749235753507,361.15134492297227
11,Indonesia,0.16639368732966475,0.10789193121407292,0.23820659447111964,3279012.852803706,2126156.5558303865,4694183.399793853,29158.652094526613,12121.919927474486,51786.71300746813,147.9657402203414,61.51274925692307,262.7919596175973
180,Kenya,0.46813606409262,0.35155320614517194,0.5822757494367806,3003581.0148559096,2255580.4106569597,3735906.119109192,53457.97970700719,16520.01432305229,97092.5820650837,833.1923823796724,257.47980313154324,1513.278283346669
181,Madagascar,0.3658633024242874,0.26247095707074974,0.4774937335458468,1441201.9583035572,1033920.7425878795,1880934.4892040961,66536.87433597376,11445.043148061859,133795.05699500703,1689.1040452237432,290.5436853185577,3396.5192121900163
184,Mozambique,0.4132083511405732,0.30511559054854726,0.5276231852457588,2109443.578213948,1557626.1257039043,2693535.444676469,36243.63281237413,13275.92211144437,66888.96411030956,709.9583941669445,260.0553976506605,1310.254460227081
15,Myanmar,0.14644738980883523,0.08994406537378795,0.21944093965190786,734971.1454587557,451399.5970927296,1101301.6960359518,9508.716210591301,4064.647119897213,18102.898028584746,189.46684887947086,80.9905211763651,360.7110538478301
164,Nepal,0.09626026914611532,0.06264954700574966,0.13958329484523258,288392.6553024135,187696.01804308558,418187.0401294311,3820.79660063191,1548.5392255217512,7560.408078532143,127.53130232935996,51.687447613993754,252.35279162391248
213,Niger,0.6466694196303295,0.5475628736551137,0.7403275807525616,3138198.4968951726,2657247.946009852,3592708.779171656,336892.20337993826,47293.55003252578,729108.8585687283,6942.132113479411,974.5493340223545,15024.301454622799
214,Nigeria,0.08058826675124582,0.05220230696336152,0.12133684890645337,2701450.6914405613,1749906.8279537782,4067409.904562692,231255.5891381814,51561.333058535776,464043.93083293637,689.8696009604463,153.815077052371,1384.3116293312564
165,Pakistan,0.06898522347081816,0.04500460841960625,0.10336399969388987,2105876.253482472,1373832.4151144798,3155339.3823883305,45494.24662248712,17186.133802799493,86371.01307812982,149.032060392855,56.29909540149397,282.93797552171003
196,South Africa,0.10841942375056562,0.06968124802312224,0.16187586136532675,552345.6985745092,354993.0103430782,824680.971685347,7857.8427605390625,1978.191958088634,16244.61135874082,154.24086513552794,38.829746066184114,318.86396637322395
522,Sudan,0.19510362688594665,0.13038768467651918,0.280126385532296,1075556.9083585734,718794.300531843,1544265.854929018,19753.235600237123,6678.956146750642,44526.15399020921,358.31929286014275,121.1547764619821,807.6945131643181
190,Uganda,0.21576804087461673,0.1583834249772244,0.28332999024217675,1529741.428081379,1122898.8580837692,2008738.7461760968,40737.52499231791,8169.09257953269,100461.71513980837,574.5974970879571,115.22398944374868,1416.9994392978645
189,United Republic of Tanzania,0.21557901298873997,0.1574274765193742,0.28556165609590844,2006453.5814567306,1465221.1256690938,2657801.423509986,37794.88320349214,11805.776830210818,82210.76004181767,406.07884938549466,126.84458490060851,883.295515563433
20,Viet Nam,0.08559845255811056,0.05464928622046781,0.1292686767627631,593834.8817987407,379126.6249946021,896794.8262099917,2115.374707218501,1057.0444203927636,3647.185558577888,30.492112718268793,15.236788784911926,52.57243209777671
1,Global,0.1516375645604086,0.13868742911714702,0.16740615237643433,100511849.92977573,91927947.42503174,110963942.9633425,2625183.2123523992,718219.5330429064,4899415.547952769,396.0492112363977,108.35444864106205,739.1520919971342
